num,timestamp,hand_w,hand_x,hand_y,hand_z,fore_w,fore_x,fore_y,fore_z,up_w,up_x,up_y,up_z,thumb0,thumb1,thindex,index0,index1,index2,inmid,middle0,middle1,middle2,midring,ring0,ring1,ring2,ringlittle,little0,little1,little2,thumbcmc,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18
11,1702448881.885577,1.0,0.00011336913303239271,-5.105932359583676e-05,8.945253648562357e-05,1.0,0.00027522712480276823,0.00011523180728545412,0.0001446916867280379,0.9999998211860657,-3.97566836909391e-05,-0.0005887654842808843,-0.000178234520717524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,4,0,0,0,3,0,1,0,2,1,0,0
12,1702448881.901009,0.9999999403953552,0.0003665122203528881,-4.501680814428255e-05,0.00021478724374901503,0.9999999403953552,0.00031313582439906895,9.78344542090781e-05,1.9431288819760084e-05,0.9999998211860657,-0.00015783452545292675,-0.0006649330607615411,-0.00013031183334533125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,4,0,0,0,3,0,1,0,2,1,0,0
13,1702448881.9164407,1.0,4.658221951103769e-05,1.8969663869938813e-05,1.1980840099568013e-05,1.0,0.00014973068027757108,2.5988287234213203e-05,-3.619584458647296e-05,1.0,-1.9073975181527203e-06,-0.0002293720026500523,-5.705800867872313e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,4,0,0,0,3,0,1,0,2,1,0,0
14,1702448881.931873,0.9999998807907104,-6.79510339978151e-05,-0.0004938594647683203,-0.0001959105720743537,1.0,0.00024536880664527416,-0.0001204417203553021,-8.373177115572616e-05,0.9999997615814209,4.574773629428819e-05,-0.0006995901931077242,-6.115592987043783e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,4,0,0,0,3,0,1,0,2,1,0,0
15,1702448881.947305,0.9999995231628418,-9.998936002375558e-05,-0.000985334743745625,-0.0002959595585707575,0.9999998807907104,0.0002491537597961724,-0.00038855025195516646,-0.00012681211228482425,0.9999996423721313,6.118573946878314e-05,-0.0008410356240347028,-1.53634900925681e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,4,0,0,0,3,0,1,0,2,1,0,0
16,1702448881.962737,0.9999986886978149,-0.00013527620467357337,-0.0015496487030759454,-0.0004586694994941354,0.9999996423721313,0.00018319957598578185,-0.0007966067059896886,-0.0002644278865773231,0.9999994039535522,6.294412014540285e-05,-0.0011274656280875206,0.0001569281448610127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,4,0,0,0,2,0,1,0,1,0,0,0
17,1702448881.9781694,0.9999963045120239,-0.0001816796138882637,-0.002572051016613841,-0.0008890856406651437,0.9999994039535522,6.169238622533157e-05,-0.00107616710010916,-0.000351899943780154,0.9999992251396179,2.5630652089603245e-05,-0.0012116965372115374,0.00023422244703397155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,4,0,0,0,2,0,1,0,1,0,0,0
18,1702448881.9936018,0.999993622303009,-0.0003286386199761182,-0.003285015234723687,-0.0013608088484033942,0.9999988079071045,-0.0002255497529404238,-0.0014604257885366678,-0.0005129409255459905,0.9999992847442627,-1.4216071576811373e-05,-0.0011765065137296915,0.0003570558619685471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,4,0,0,0,2,0,1,0,1,0,0,0
19,1702448882.0090332,0.9999931454658508,-0.00032771474798209965,-0.0033847664017230272,-0.001470752526074648,0.9999986290931702,-0.0003487259382382035,-0.0015503715258091688,-0.0005655881250277162,0.9999994039535522,-5.8980309404432774e-05,-0.0010384885827079415,0.00039198508602567017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,4,0,0,0,2,0,1,0,1,0,0,0
20,1702448882.024465,0.999993622303009,-0.00032986054429784417,-0.0031645363196730614,-0.0016454431461170316,0.9999986290931702,-0.0005564831662923098,-0.0014473421033471823,-0.0006068802322261035,0.9999996423721313,-1.043108022713568e-05,-0.0007177924271672964,0.00047115699271671474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,4,0,0,0,2,0,1,0,1,0,0,0
21,1702448882.0398977,0.999993622303009,-0.00032986054429784417,-0.0031645363196730614,-0.0016454431461170316,0.9999988675117493,-0.0006251793238334358,-0.0012869270285591483,-0.000512315018568188,0.9999997019767761,2.557104562583845e-05,-0.0005877764197066426,0.0005353378946892917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,4,0,0,0,2,0,1,0,1,0,0,0
22,1702448882.0553296,0.9999950528144836,-0.0002770793216768652,-0.0026395253371447325,-0.001713006990030408,0.9999992251396179,-0.0007114294567145407,-0.0009043224272318184,-0.00046609045239165425,0.9999998211860657,5.67450697417371e-05,-0.0003549472603481263,0.0005116742104291916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,4,0,0,0,2,0,1,0,1,0,0,0
23,1702448882.070761,0.9999958872795105,-0.00013220649270806462,-0.0023696136195212603,-0.0016444599023088813,0.999999463558197,-0.0007685321616008878,-0.0005861819954589009,-0.0003811069473158568,0.9999998211860657,0.00011140391870867461,-0.00018284190446138382,0.0005372601444832981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,4,0,0,0,2,0,1,0,1,0,0,0
24,1702448882.0861936,0.9999961853027344,-0.00012272910680621862,-0.0022531282156705856,-0.0016183522529900074,0.9999995231628418,-0.0008107929606921971,-0.0004897541366517544,-0.0003754890931304544,0.9999998807907104,0.00015804576105438173,-9.148802200797945e-05,0.0005593592068180442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,3,0,0,2,0,1,0,1,0,0,0
25,1702448882.101626,0.9999971389770508,3.156147067784332e-05,-0.0018667983822524548,-0.0015237126499414444,0.999999463558197,-0.0007573858019895852,-0.0005396667984314263,-0.0004173027991782874,0.9999997615814209,0.00022015540162101388,-0.00014157955592963845,0.0006272804457694292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,3,0,0,2,0,1,0,1,0,0,0
26,1702448882.1170578,0.9999975562095642,1.0073442354041617e-05,-0.0016088300617411733,-0.0015198977198451757,0.999999463558197,-0.0007573858019895852,-0.0005396667984314263,-0.0004173027991782874,0.9999997615814209,0.0002622373285703361,-0.00016020648763515055,0.0006378605030477047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,3,0,0,2,0,1,0,1,0,0,0
27,1702448882.1324897,0.9999985694885254,4.5419903472065926e-05,-0.001044598175212741,-0.0013572474708780646,0.9999995827674866,-0.0007169728633016348,-0.00044650238123722374,-0.00038815540028735995,0.9999995827674866,0.0003047067439183593,0.00030915485695004463,0.0007706183823756874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,4,0,0,2,0,1,0,0,0,0,0
28,1702448882.1479213,0.9999988675117493,3.343906064401381e-05,-0.00067009252961725,-0.0013273400254547596,0.9999996423721313,-0.0007074953755363822,-0.00021033525990787894,-0.0003894964756909758,0.9999994039535522,0.00032840020139701664,0.0007641883566975594,0.0007046194514259696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,4,0,0,2,0,1,0,0,0,0,0
29,1702448882.1633537,0.9999991655349731,0.0001879084447864443,0.00017834910249803215,-0.0012757210060954094,0.9999996423721313,-0.0006722384132444859,0.0004518743953667581,-0.00025579988141544163,0.9999982714653015,0.0003522724728100002,0.0017350387061014771,0.0005233421688899398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,4,0,0,2,0,1,0,0,0,0,0
30,1702448882.1787858,0.9999990463256836,0.00022259923571255058,0.0005718243191950023,-0.0012338327942416072,0.9999994039535522,-0.0006243448005989194,0.0008596476400271058,-0.00021966363419778645,0.999997615814209,0.00033871206687763333,0.00210584863089025,0.0005346077377907932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,4,0,0,2,0,1,0,0,0,0,0
31,1702448882.1942184,0.9999987483024597,0.0002113932860083878,0.0011171165388077497,-0.0010831037070602179,0.9999986886978149,-0.0005465588183142245,0.0015367066953331232,-6.513464177260175e-05,0.9999969005584717,0.00037784353480674326,0.0024193921126425266,0.000514356535859406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,4,0,0,2,0,1,0,0,0,0,0
32,1702448882.2096505,0.9999985694885254,0.00018388502940069884,0.001331318635493517,-0.0010427801171317697,0.9999982714653015,-0.0005371409934014082,0.001772866235114634,-6.644598033744842e-05,0.9999968409538269,0.0003357615496497601,0.0024381233379244804,0.0005037615192122757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,4,0,0,2,0,1,0,0,0,0,0
33,1702448882.2250826,0.9999980926513672,0.00016841724573168904,0.00163299310952425,-0.001075474196113646,0.9999980926513672,-0.0005524895968846977,0.0018831229535862803,-1.378392698825337e-05,0.9999969601631165,0.00023639808932784945,0.002404036233201623,0.0005131346406415105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,2,5,0,0,2,0,0,0,1,0,0,0
34,1702448882.240514,0.9999977946281433,0.00018850452033802867,0.0017663693288341165,-0.0011331132845953107,0.9999982714653015,-0.0006867822958156466,0.0017467290163040161,-3.02352291328134e-05,0.9999967813491821,0.00013441190822049975,0.0024891907814890146,0.0005680765607394278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,2,5,0,0,2,0,0,0,1,0,0,0
35,1702448882.2559462,0.9999973773956299,0.00016808939108159393,0.0019243627320975065,-0.0012392420321702957,0.9999982714653015,-0.0007807813235558569,0.0017036041244864464,-1.753911783453077e-05,0.9999962449073792,0.0001469292037654668,0.0026799901388585567,0.0005830079317092896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,2,5,0,0,2,0,0,0,1,0,0,0
36,1702448882.2713776,0.9999971985816956,0.00013536561164073646,0.0019948696717619896,-0.0012724129483103752,0.9999980926513672,-0.0008341585053130984,0.0017536060186102986,2.4319317162735388e-05,0.9999947547912598,0.00019866735965479165,0.0031843180768191814,0.0005777626065537333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,2,5,0,0,2,0,0,0,1,0,0,0
37,1702448882.28681,0.9999971985816956,0.00013536561164073646,0.0019948696717619896,-0.0012724129483103752,0.9999977946281433,-0.0008785055251792073,0.001928490586578846,3.8237358239712194e-05,0.9999939799308777,0.00020054494962096214,0.003413675120100379,0.0006348206079564989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,2,5,0,0,2,0,0,0,1,0,0,0
